,Portfolio Manager Meter ID,Usage/Quantity,Cost ($),
786,31548252,0,0,
787,31548252,0,0,
788,31548252,54406,49847.96,
789,31548252,13214.7,13949.33,
790,31548252,25855.01,27757.32,
791,31548252,20013.98,21100.59,
792,31548252,23588.58,17188.03,
793,31548252,22030.18,17116.4,
794,31548252,21552.67,16567.38,
795,31548252,23108.97,19353.69,
796,31548252,21875.62,18538.2,
797,31548252,18571.25,15031.87,
798,31548252,22313.33,16558.96,
799,31548252,25325.96,20666.63,
800,31548252,26076.18,24073.26,
801,31548252,23246.12,21942.22,
802,31548252,21368.38,20336.69,
803,31548252,22655.33,20320.61,
804,31548252,25249.67,19498.27,
805,31548252,19602.42,15434.26,
806,31548252,20834.21,16277.1,
807,31548252,24315.45,19077.15,
808,31548252,25289.82,19908.47,
809,31548252,23375.5,17066.84,
810,31548252,24456.4,17580.14,
811,31548252,23322.7,19460.33,
812,31548252,26397.21,21701.5,
813,31548252,23359.85,19144.59,
814,31548252,21493.46,16498,
815,31548252,25907,18704,
816,31548252,22960.78,13165.08,
817,31548252,23496.32,13107.89,
818,31548252,24828.08,14961.99,
819,31548252,22384.17,14332.8,
820,31548252,22281.8,14831.9,
821,31548252,27028.43,16893.61,
822,31548252,22490.94,14991.03,
823,31548252,23800,20043.37,
824,31548252,26238.87,21844.82,
825,31548252,19293.21,16175.38,
826,31548252,21422.75,17785.48,
827,31548252,24965.88,20890.46,
828,31548252,19929.25,14806.31,
829,31548252,23138.88,17597.67,
830,31548252,22303.05,16948.93,
831,31548252,21751.42,15509.2,
832,31548252,23636.78,15960.31,
833,31548252,25483.62,17483.12,
834,31548252,22801.78,15364.99,
835,31548252,25195.66,19958.21,
836,31548252,24205.91,20245.27,
837,31548252,18701.31,18007.48,
838,31548252,21382,22456.65,
839,31548252,28869.89,27859.12,
840,31548252,21550.47,16884,
841,31548252,8355.89,6785.2,
842,31548252,0,102,
843,31548249,475082.63,268097.19,
844,31548249,501545.6,255595.91,
845,31548249,490264.94,221957.56,
846,31548249,447990.79,242869.33,
847,31548249,359329.12,217613,
848,31548249,492695.43,294206.3,
849,31548249,522134,401777.4,
850,31548249,478946.89,341098.63,
851,31548249,439983.15,292115.78,
852,31548249,426562,235260.45,
853,31548249,293639.25,175302.75,
854,31548249,455748.61,267077.66,
855,31548249,470263.06,305442.27,
856,31548249,463875.99,305123.91,
857,31548249,509570.53,275179.8,
858,31548249,329433.13,184422.82,
859,31548249,455600.72,230547,
860,31548249,523080.9,318732.3,
861,31548249,420674.28,243809,
862,31548249,473767.04,291278.56,
863,31548249,494661.71,276606.19,
864,31548249,426492.12,252763.83,
865,31548249,265414.7,161165.1,
866,31548249,479519.28,288285.4,
867,31548249,499576.05,302658.94,
868,31548249,475783.98,289835.15,
869,31548249,485943.08,269878.74,
870,31548249,459157.46,250286.61,
871,31548249,415877.76,217774.92,
872,31548249,489176.57,248655.95,
873,31548249,415435,198919.38,
874,31548249,498288,217361.98,
875,31548249,490051.27,201819.72,
876,31548249,449004.27,167251.02,
877,31548249,171455.31,61057.1,
878,31548249,498832.29,197930,
879,31548249,532001.93,230309.97,
880,31548249,510339.82,233385.19,
881,31548249,519115.47,216945.1,
882,31548249,459121.88,210381.9,
883,31548249,504735.07,253960.55,
884,31548249,434312.23,228492.97,
885,31548249,392377.75,193117,
886,31548249,517806.65,252747.96,
887,31548249,537737.09,273780.77,
888,31548249,487297.26,275311.2,
889,31548249,272849.29,159217.3,
890,31548249,312209.02,182998.37,
891,31548249,113460.83,64601.86,
892,31548249,143450.32,86033.82,
893,31548249,430802.02,232665.86,
894,31548249,405243.05,208296.84,
895,31548249,410285.9,215507.04,
896,31548249,433038.58,221920.77,
897,31548249,414247.32,205650.81,
898,31548249,347554.28,141436.52,
899,31548249,190023.82,153454.33,
900,31548249,225184.44,158223.05,
901,31548249,258503.23,170038,
902,31548249,142835.68,86174.96,
903,31548249,249893,144412,
904,31548249,501440,259806,
905,31548249,482727,257522,
906,31548249,176926,95657,
907,31548249,455076,233972,
908,31548249,479755,273363,
909,31548249,492070,226325,
910,31548249,428778,263491,
911,31548249,490202,210955,
912,31548249,459288,183646,
913,31548249,330555,129959,
914,31548249,380060,160738,
915,31548249,6131772.7,Not Available,
916,31548249,411567.18,163417.68,
917,31548249,460189.49,191967.91,
918,31548249,434679.29,186906.27,
919,31548249,413978.53,169813.04,
920,31548249,287658.89,131652.69,
921,31548249,0,142.09,
922,31548249,0,142.09,
923,31548249,266838.64,160040.74,
924,31548249,433188.41,195851.85,
925,31548249,263437.38,118287.43,
926,31548249,392944.1,182101.93,
927,31548249,483960.38,216457.5,
